driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
postgres,sub collection id in list,total,2941.0,1189.0822849370961,1079.0,441.0214288556502,0.37089227082294035,511.0,1756.0,1958.0,2202.7999999999993,2706.0
mongo,sub collection id in list only,build,2846.0,291.56746310611385,283.0,35.112515841882384,0.12042672892175023,224.0,345.0,356.75,384.0,402.0
neo4j,sub collection id in list only,build,2667.0,11.7570303712036,11.0,1.4558462323561308,0.12382771723733259,8.0,14.0,15.0,16.0,16.0
postgres,sub collection id in list only,build,2814.0,42.44811656005686,39.0,9.311490117649274,0.21936167896813752,28.0,58.0,63.0,67.0,68.0
mongo,sub collection id in list only,exec,2808.0,866.5302706552707,843.0,96.75952258511454,0.11166317653501583,643.0,1015.0,1067.0,1128.9299999999998,1148.0
neo4j,sub collection id in list only,exec,2798.0,1650.9010007147963,1614.0,186.7548696259207,0.11312299740872457,1114.0,1915.3000000000002,2022.3000000000002,2158.03,2199.0
postgres,sub collection id in list only,exec,2946.0,1172.1676849966057,1071.0,431.74163623980724,0.3683275368925202,496.0,1717.0,1869.75,2133.55,2665.0
mongo,sub collection id in list only,total,2829.0,1165.109932838459,1143.0,118.10170923315728,0.1013652925826802,914.0,1336.0,1402.6,1483.0,1509.0
neo4j,sub collection id in list only,total,2799.0,1664.4319399785638,1628.0,187.6798130260693,0.11275907924987694,1126.0,1930.2000000000003,2040.0,2173.04,2217.0
postgres,sub collection id in list only,total,2944.0,1216.5139266304348,1119.0,431.2036845192607,0.3544584859078693,526.0,1759.7000000000003,1925.85,2177.0,2673.0
mongo,sub collection parent range filter,build,2454.0,261.0546047269764,256.0,26.72038697116003,0.10235554741164406,211.0,294.0,313.0,357.4699999999998,369.0
neo4j,sub collection parent range filter,build,2931.0,11.069941999317638,9.0,4.69967183118852,0.42454349186998563,5.0,18.0,20.0,24.0,29.0
postgres,sub collection parent range filter,build,2751.0,38.67139222101054,35.0,8.956966584077923,0.23161738095406653,26.0,56.0,59.0,62.0,63.0
mongo,sub collection parent range filter,exec,2950.0,4417.74779661017,2376.5,4026.9689565136387,0.9115434248201348,621.0,10103.0,10423.65,11396.819999999982,14121.0
neo4j,sub collection parent range filter,exec,2941.0,2732.6878612716764,2032.0,1263.7303756736326,0.46244958803511,1134.0,4488.0,4790.0,5470.599999999999,7503.0
