form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
7670966536050936040;100;neo4j;1575.2170022371365;3;neo4j;1607.3304628247547;1805.26612987422;1242.5820256615584;neo4j
7833263001423434748;100;neo4j;1445.7358684480987;3;neo4j;2394.275108447217;8905.806818875915;2096.191965769743;neo4j
7833263001423434748;9000;neo4j;4887.048128342246;2;neo4j;5219.868106799233;11278.69080929731;2390.3196008095465;neo4j
7836930319685189986;100;neo4j;1361.7700421940929;3;neo4j;2275.7575117720426;6413.695172129463;1871.5455136924218;neo4j
7836930319685189986;500;neo4j;1573.9746835443038;3;neo4j;2402.7504555182004;6520.341643609076;1884.7647332447723;neo4j
7954557932981491205;3000;neo4j;2614.6473214285716;3;neo4j;3865.5780556900436;8087.977324797841;2107.194082332949;neo4j
7966613178259251389;100;neo4j;1584.01244813278;3;neo4j;3715.7439425915372;9156.390373556871;2141.6739741486804;neo4j
7966613178259251389;9000;neo4j;4872.696629213483;2;neo4j;6541.336940943554;11529.274363978266;2435.8016091884833;neo4j
8091176873199077026;1000;neo4j;1963.0636550308009;3;neo4j;4404.628331316327;11235.024397406441;2289.20473582716;neo4j
8363527496076688360;500;neo4j;1748.033482142857;3;neo4j;4170.045357148349;10409.092636153102;2256.8361916175913;neo4j
8680977486174658034;100;neo4j;1618.8316221765913;3;neo4j;2316.5784542517654;2660.6008583135954;1336.9367245025533;neo4j
8680977486174658034;500;neo4j;1351.991769547325;3;neo4j;2443.5713979979237;2767.2473297932092;1350.155944054904;neo4j
8680977486174658034;9000;neo4j;1332.9362139917696;3;neo4j;5142.171452603781;5033.48484873499;1631.0643595423562;neo4j
8680977486174658034;15000;neo4j;1269.2860082304526;3;neo4j;7047.065608796152;6633.18192092919;1829.3526528276166;neo4j
8795005962080040597;100;neo4j;1487.3195355880869;3;neo4j;2736.4873882581296;8418.810739707116;2095.814176198921;neo4j
8795005962080040597;500;neo4j;1690.4459049544994;3;neo4j;2863.4803320042874;8525.457211186731;2109.0333957512717;neo4j
8795005962080040597;1000;neo4j;1964.059595959596;3;neo4j;3022.2215116869847;8658.765300536246;2125.55742019171;neo4j
8795005962080040597;3000;neo4j;3051.4137931034484;3;neo4j;3657.186230417775;9191.997657934313;2191.6535179534635;neo4j
8795005962080040597;9000;neo4j;4844.580645161291;2;neo4j;5562.080386610145;10791.69473012851;2389.941811238724;neo4j
8795005962080040597;15000;postgres;8791.589977220956;1;neo4j;7466.974542802516;12391.391802322709;2588.230104523984;neo4j
8833160505194618735;1000;neo4j;1301.510022271715;3;neo4j;2305.9529081071223;1851.0356345013265;1142.5244975150472;neo4j
8951401630529051155;500;neo4j;1591.8708240534522;3;neo4j;2468.720088427518;7045.800912104802;1994.1174755828947;neo4j
8960386008572195050;500;neo4j;1646.710970464135;3;neo4j;2849.1587756503895;6532.325410765099;1891.8376821904787;neo4j
8960386008572195050;9000;neo4j;4441.669398907104;2;neo4j;5547.758830256247;8798.56292970688;2172.746097677931;neo4j
